Type,Host,Value,TTL,MXPref,Note
A,@,54.234.33.69,60,,The website
CNAME,www,ec2-54-234-33-69.compute-1.amazonaws.com.,60,,The website
MX,@,ALT1.ASPMX.L.GOOGLE.COM.,300,20,GMail
MX,@,ALT2.ASPMX.L.GOOGLE.COM.,300,20,GMail
MX,@,ASPMX.L.GOOGLE.COM.,300,10,GMail
MX,@,ASPMX2.GOOGLEMAIL.COM.,300,30,GMail
MX,@,ASPMX3.GOOGLEMAIL.COM.,300,30,GMail
MX,@,ASPMX4.GOOGLEMAIL.COM.,300,30,GMail
MX,@,ASPMX5.GOOGLEMAIL.COM.,300,30,GMail
TXT,mail,ghs.google.com.,1800,,GMail
TXT,moderator,ghs.google.com.,1800,,GMail
A,cbu-philly,107.20.155.26,1800,,
A,pad,198.61.193.244,1800,,
A,*.s,23.21.64.76,300,,
A,s,23.21.64.76,300,,
A,sftp,23.21.64.76,1800,,
A,et,50.17.146.253,1800,,
A,splost,50.19.214.65,1800,,
A,startups,50.19.214.65,600,,
A,citygroups,50.19.248.182,1800,,
A,old-commons,50.56.49.247,1800,,
A,jekit,54.165.142.130,1800,,
A,origin.style,54.172.29.187,1800,,
A,style,54.172.29.187,1800,,
A,brigade,54.234.33.69,1800,,
A,boston,66.220.0.85,1800,,
A,ci,69.12.169.82,1800,,
A,farm,97.65.119.2,300,,
CNAME,311center,ec2-50-16-179-6.compute-1.amazonaws.com.,1800,,
CNAME,alpha.oakland,ec2-54-83-89-179.compute-1.amazonaws.com.,1800,,
CNAME,bizarro-library,ec2-54-226-236-223.compute-1.amazonaws.com.,1800,,
CNAME,bizarro.dfd,ec2-54-83-89-179.compute-1.amazonaws.com.,1800,,
CNAME,cbu-staging,ec2-107-20-63-92.compute-1.amazonaws.com.,1800,,
CNAME,chime-check,ec2-54-160-112-85.compute-1.amazonaws.com.,1800,,
CNAME,forever,forever.codeforamerica.org.s3.amazonaws.com.,1800,,
CNAME,forum,ec2-54-87-195-123.compute-1.amazonaws.com.,1800,,
CNAME,govgeekalpha,ec2-54-215-77-180.us-west-1.compute.amazonaws.com.,1800,,
CNAME,intersection,intersection.codeforamerica.org.s3-website-us-east-1.amazonaws.com.,1800,,
CNAME,intheloop,ec2-54-227-151-75.compute-1.amazonaws.com.,1800,,
CNAME,library-staging,ec2-54-234-33-69.compute-1.amazonaws.com.,1800,,
CNAME,old,ec2-54-234-33-69.compute-1.amazonaws.com.,1800,,
CNAME,origin.www,ec2-54-234-33-69.compute-1.amazonaws.com.,1800,,
CNAME,people,ec2-54-237-176-209.compute-1.amazonaws.com.,1800,,
CNAME,peopledb,cfa-peopledb.ct9a9jbtldwr.us-east-1.rds.amazonaws.com.,1800,,
CNAME,backpack,codeforamerica.backpackit.com.,1800,,
CNAME,basecamp,codeforamerica.basecamphq.com.,1800,,
CNAME,action,codeamerica.bluestatedigital.com.,1800,,
CNAME,secure,codeamerica.sanssl-004.bsdtools.com.,1800,,
CNAME,2012,df4184dvld2ol.cloudfront.net.,1800,,
CNAME,catalyze,gateway.dotcloud.com.,1800,,
CNAME,citihow,gateway.dotcloud.com.,300,,
CNAME,commits,gateway.dotcloud.com.,1800,,
CNAME,2013,global.prod.fastly.net.,600,,
CNAME,data,global.prod.fastly.net.,1800,,
CNAME,housefacts,global.prod.fastly.net.,1800,,
CNAME,prod,global.prod.fastly.net.,300,,
CNAME,spacetimecontinuum,global.prod.fastly.net.,1800,,
CNAME,abq,codeforamerica.github.io.,1800,,
CNAME,alpha,codeforamerica.github.io.,1800,,
CNAME,beta,codeforamerica.github.io.,1800,,
CNAME,delta,codeforamerica.github.io.,1800,,
CNAME,midyear,codeforamerica.github.io.,1800,,
CNAME,rva,codeforamerica.github.io.,1800,,
CNAME,splash,codeforamerica.github.io.,1800,,
CNAME,summit,codeforamerica.github.io.,1800,,
CNAME,three,codeforamerica.github.com.,1800,,
CNAME,work,codeforamerica.github.com.,1800,,
CNAME,start,ghs.google.com.,1800,,
CNAME,video,ghs.google.com.,1800,,
CNAME,2014,cfa-annual-2014.herokuapp.com.,1800,,
CNAME,alumni,cfa-alumni.herokuapp.com.,300,,
CNAME,brigade-staging,brigade-staging.herokuapp.com.,1800,,
CNAME,census,us-census-api.herokuapp.com.,1800,,
